1,20280020,Huynh Viet,Dung,22CTT2,962040123,18,0,0,0,tphcm,3/2/2004,Nam,
2,20280021,Nguyen Quoc,Duong,22CTT2,962040124,18,0,0,0,tphcm,5/2/2004,Nu,
3,20280022,Quach Phong,Duong,22CTT2,962040125,18,0,0,0,tphcm,3/2/2005,Nam,
4,20280023,Nguyen Le Ngoc,Duy,22CTT2,962040126,18,0,0,0,tphcm,5/2/2005,Nu,
5,20280024,Tran Nguyen Nhat,Duy,22CTT2,962040127,18,0,0,0,tphcm,3/2/2006,Nam,
6,20280025,Dao Thi Bich,Giang,22CTT2,962040128,18,0,0,0,tphcm,5/2/2006,Nu,
7,20280026,Nguyen Xuan,Hai,22CTT2,962040129,18,0,0,0,tphcm,3/2/2007,Nam,
8,20280027,Le Viet,Han,22CTT2,962040130,18,0,0,0,tphcm,5/2/2007,Nu,
9,20280028,Le Thi My,Hang,22CTT2,962040131,18,0,0,0,tphcm,3/2/2008,Nam,
10,20280029,Nguyen Nhat,Hao,22CTT2,962040132,18,0,0,0,tphcm,5/2/2008,Nu,
11,20280030,Cao Minh,Hieu,22CTT2,962040133,18,0,0,0,tphcm,3/2/2009,Nam,
12,20280031,Huynh Doan,Ho,22CTT2,962040134,18,0,0,0,tphcm,5/2/2009,Nu,
13,20280032,Nguyen Thi,Hoa,22CTT2,962040135,18,0,0,0,tphcm,3/2/2010,Nam,
14,20280033,Ha Thu,Hoang,22CTT2,962040136,18,0,0,0,tphcm,5/2/2010,Nu,
15,20280034,Nguyen Huy,Hoang,22CTT2,962040137,18,0,0,0,tphcm,3/2/2011,Nam,
16,20280035,Nguyen Minh,Hoang,22CTT2,962040138,18,0,0,0,tphcm,5/2/2011,Nu,
17,20280036,Nguyen Van,Huan,22CTT2,962040139,18,0,0,0,tphcm,3/2/2012,Nam,
18,20280037,Nguyen Thanh,Hung,22CTT2,962040140,18,0,0,0,tphcm,5/2/2012,Nu,
19,20280038,Dang Ngoc,Hung,22CTT2,962040141,18,0,0,0,tphcm,3/2/2013,Nam,
20,20280039,Nguyen Dinh,Hung,22CTT2,962040142,18,0,0,0,tphcm,5/2/2013,Nu,
21,20280040,Le Hoang,Huy,22CTT2,962040143,18,0,0,0,tphcm,3/2/2014,Nam,
22,20120001,Nguyen Khai,Huy,22CTT2,962040144,18,0,0,0,tphcm,5/2/2014,Nu,
23,20120002,Nguyen Nhat,Huy,22CTT2,962040145,18,0,0,0,tphcm,3/2/2015,Nam,
24,20120003,Vu Quang,Huy,22CTT2,962040146,18,0,0,0,tphcm,5/2/2015,Nu,
25,22120076,Ho Khanh,Duy,22CTT2,96204011031,18,10,10,10,tphcm,3/2/2004,Nam,
